Sample Sys Usage,Sample Sys Name,GPIO #,Name,J8 Header # (odd row),J8 Header # (even row),Name,GPIO #,Sample Sys Name,Sample Sys Usage,,,,,,,,,,,,,,
,,N/A,3.3 VDC Power,1,2,5.0 VDC POWER,N/A,,,"""3.3 VDC Power"",",,,"""5.0 VDC POWER"",",,,even,"""N/A"",",,,"""3.3 VDC Power"",",,,"""3.3 VDC Power"","
Pressure bus,,2,"SPI3 MOSI/SDA3 (SPI, I2C)",3,4,5.0 VDC POWER,N/A,,,"""SPI3 MOSI/SDA3 (SPI, I2C)"",",,,"""5.0 VDC POWER"",",,,odd,"""N/A"",",,,"""5.0 VDC POWER"",",,,"""5.0 VDC POWER"","
Pressure bus,,3,"SP3 SCLK/SCL3 (SPI, I2C)",5,6,GND,N/A,,,"""SP3 SCLK/SCL3 (SPI, I2C)"",",,,"""GND"",",,,even,"""8"",",,,"""SPI3 MOSI/SDA3 (SPI, I2C)"",",,,"""SPI3 MOSI/SDA3 (SPI, I2C)"","
,,4,SPI4 CE0 N/SDA3 (I2C),7,8,"TXD1/SPI5 MOSI (UART, SPI)",14,,,"""SPI4 CE0 N/SDA3 (I2C)"",",,,"""TXD1/SPI5 MOSI (UART, SPI)"",",,,odd,"""N/A"",",,,"""5.0 VDC POWER"",",,,"""5.0 VDC POWER"","
,,N/A,GND,9,10,"RXD1/SPI5 SCLK (UART, SPI)",15,,,"""GND"",",,,"""RXD1/SPI5 SCLK (UART, SPI)"",",,,even,"""9"",",,,"""SP3 SCLK/SCL3 (SPI, I2C)"",",,,"""SP3 SCLK/SCL3 (SPI, I2C)"","
Valve 1,Valve 1,17,GPIO 17,11,12,SPI6 CEO N,18,,,"""GPIO 17"",",,,"""SPI6 CEO N"",",,,odd,"""N/A"",",,,"""GND"",",,,"""GND"","
Valve 2,Valve 2,27,SPI6 CE1 N (SPI),13,14,GND,N/A,,,"""SPI6 CE1 N (SPI)"",",,,"""GND"",",,,even,"""7"",",,,"""SPI4 CE0 N/SDA3 (I2C)"",",,,"""SPI4 CE0 N/SDA3 (I2C)"","
Valve 3,Valve 3,22,SDA6 (I2C),15,16,SCL6 (I2C),23,Valve 4,Valve 4,"""SDA6 (I2C)"",",,,"""SCL6 (I2C)"",",,,odd,"""15"",",,,"""TXD1/SPI5 MOSI (UART, SPI)"",",,,"""TXD1/SPI5 MOSI (UART, SPI)"","
,,N/A,3.3 VDC Power,17,18,SPI3 CE1 N (SPI),24,,,"""3.3 VDC Power"",",,,"""SPI3 CE1 N (SPI)"",",,,even,"""N/A"",",,,"""GND"",",,,"""GND"","
Thermocouple bus,,10,SDA5 (I2C),19,20,GND,N/A,,,"""SDA5 (I2C)"",",,,"""GND"",",,,odd,"""16"",",,,"""RXD1/SPI5 SCLK (UART, SPI)"",",,,"""RXD1/SPI5 SCLK (UART, SPI)"","
Thermocouple bus,,9,"RXD4/SCL4 (UART, I2C)",21,22,SPI4 CE1 N (SPI),25,,,"""RXD4/SCL4 (UART, I2C)"",",,,"""SPI4 CE1 N (SPI)"",",,,even,"""0"",",,,"""GPIO 17"",",,,"""GPIO 17"","
Thermocouple bus,,11,SCL5 (I2C),23,24,"SDA4/TXD4 (I2C, UART)",8,,,"""SCL5 (I2C)"",",,,"""SDA4/TXD4 (I2C, UART)"",",,,odd,"""1"",",,,"""SPI6 CEO N"",",,,"""SPI6 CEO N"","
,,N/A,GND,25,26,"SDCL4/SPI4 SCLK (I2C, SPI)",7,,,"""GND"",",,,"""SDCL4/SPI4 SCLK (I2C, SPI)"",",,,even,"""2"",",,,"""SPI6 CE1 N (SPI)"",",,,"""SPI6 CE1 N (SPI)"","
